"COL_NAME"	"COLLABEL"	"EXT_DESC"	"DATATYPE"	"COLWIDTH"	"COL_FMT"	"UNITS"	"PRMRYKEY"	"MINIMUM"	"MAXIMUM"	"MISSVALS"	"WT_NAME"	"WT_TYPE"	"COMMENTS"	"CHECKSUM"	"COL_NUM"
"CIDV022"	"V022 - m,p-Xylene"	"V022 - m,p-Xylene: Chemid in Region_5 = 122"	"CHARACTER"	4	"A4"	""	""	""	""	""	""	"N"	""	""	98
"CONCV022"	"CONC:m,p-Xylene-Air(ug/m3)"	"Concentration for V022"	"NUMBER"	14	"F14.7"	"ug/m3"	""	"0"	"5284"	""	""	"H,P"	""	"21124.7684"	99
"DLCV022"	"CDTLM:m,p-Xylene-Air(ug/m3)"	"Detection limit or Quantitation limit for CONCV022"	"NUMBER"	14	"F14.7"	"ug/m3"	""	".8887"	".9187"	"-333"	""	"N"	""	"-331665.3039"	100
"USECV022"	"CDQFG:m,p-Xylene-Air"	"Data quality flag for CONCV022"	"NUMBER"	4	"F4.0"	""	""	"0"	"1"	""	""	"N"	""	"147"	101
"CMTCV022"	"CDQI:m,p-Xylene-Air"	"Data quality indicator for CONCV022"	"CHARACTER"	2	"A2"	""	""	""	""	""	""	"N"	""	""	102
"DFLCV022"	"CDTIN:m,p-Xylene-Air"	"100*Detection indicator for CONCV022"	"NUMBER"	4	"F4.0"	""	""	"0"	"100"	""	""	"N"	""	"99600"	103
"UNTCV022"	"CUNIT:m,p-Xylene-Air"	"Measurement units  for CONCV022"	"CHARACTER"	6	"A6"	""	""	""	""	""	""	"N"	""	""	104
"AN1CV022"	"FCONC:m,p-Xylene-Air(ug/m3)"	"Final concentration for V022"	"NUMBER"	14	"F14.7"	"ug/m3"	""	"0"	"5284"	""	""	"H,P"	""	"21126.9131"	105
"AN2CV022"	"FCDTN:m,p-Xylene-Air"	"100*Detection indicator for AN1CV022"	"NUMBER"	4	"F4.0"	""	""	"0"	"100"	""	""	"N"	""	"99700"	106
"CIDV023"	"V023 - o-Xylene"	"V023 - o-Xylene: Chemid in Region_5 = 123"	"CHARACTER"	4	"A4"	""	""	""	""	""	""	"N"	""	""	107
"CONCV023"	"CONC:o-Xylene-Air(ug/m3)"	"Concentration for V023"	"NUMBER"	14	"F14.7"	"ug/m3"	""	"0"	"1765"	""	""	"H,P"	""	"9112.47326"	108
"DLCV023"	"CDTLM:o-Xylene-Air(ug/m3)"	"Detection limit or Quantitation limit for CONCV023"	"NUMBER"	14	"F14.7"	"ug/m3"	""	".6633"	"2.144"	"-333"	""	"N"	""	"-324653.5696"	109
"USECV023"	"CDQFG:o-Xylene-Air"	"Data quality flag for CONCV023"	"NUMBER"	4	"F4.0"	""	""	"0"	"1"	""	""	"N"	""	"146"	110
"CMTCV023"	"CDQI:o-Xylene-Air"	"Data quality indicator for CONCV023"	"CHARACTER"	2	"A2"	""	""	""	""	""	""	"N"	""	""	111
"DFLCV023"	"CDTIN:o-Xylene-Air"	"100*Detection indicator for CONCV023"	"NUMBER"	4	"F4.0"	""	""	"0"	"100"	""	""	"N"	""	"97500"	112
"UNTCV023"	"CUNIT:o-Xylene-Air"	"Measurement units  for CONCV023"	"CHARACTER"	6	"A6"	""	""	""	""	""	""	"N"	""	""	113
"AN1CV023"	"FCONC:o-Xylene-Air(ug/m3)"	"Final concentration for V023"	"NUMBER"	14	"F14.7"	"ug/m3"	""	"0"	"1765"	""	""	"H,P"	""	"9106.53674"	114
"AN2CV023"	"FCDTN:o-Xylene-Air"	"100*Detection indicator for AN1CV023"	"NUMBER"	4	"F4.0"	""	""	"0"	"100"	""	""	"N"	""	"97700"	115
